Centro,¿EN QUE MUNICIPIO VIVES?,¿CÓMO ACOSTUMBRAS A IR DE TU CASA A LA ESCUELA? ," 	¿CUÁNTO TIEMPO HACES DE TU CASA A LA ESCUELA? "
CUCEI,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCBA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,TONALA,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",16 a 30 minutos
CUCEA,ZAPOPAN,Caminando,16 a 30 minutos
CUCEI,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
CUCBA,MAGDALENA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,EL SALTO,Caminando,16 a 30 minutos
SEMS,TLAQUEPAQUE,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUALTOS,ZAPOTLANEJO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,TLAQUEPAQUE,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAQUEPAQUE,"Camion, combi o colectivo",16 a 30 minutos
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",16 a 30 minutos
CULAGOS,SAN MIGUEL EL ALTO,Caminando,Hasta 15 minutos
CUCBA,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,ARANDAS,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUALTOS,TEPATITLAN DE MORELOS,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,Caminando,16 a 30 minutos
SEMS,TAMAZULA DE GORDIANO,Caminando,31 minutos a 1 hora
SEMS,GUADALAJARA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUVALLES,AHUACUOTZINGO,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CULAGOS,LAGOS DE MORENO,Caminando,Hasta 15 minutos
CUCEI,TONALA,"Camion, combi o colectivo",31 minutos a 1 hora
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,ZAPOPAN,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
CUCEI,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCEI,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCEA,TLAQUEPAQUE,"Camion, combi o colectivo",31 minutos a 1 hora
CUCSH,ZAPOPAN,"Metro, metrobús o tren ligero",31 minutos a 1 hora
SEMS,TLAQUEPAQUE,Caminando,Hasta 15 minutos
CUTONALA,GUADALAJARA,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCSH,GUADALAJARA,"Metro, metrobús o tren ligero",31 minutos a 1 hora
CUCI,OCOTLAN,Bicicleta,16 a 30 minutos
SEMS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
CUTONALA,TONALA,"Vehiculo particular (automovil, camioneta o motocicleta)",16 a 30 minutos
CUVALLES,AMECA,"Vehiculo particular (automovil, camioneta o motocicleta)",Hasta 15 minutos
SEMS,CIUDAD GUZMAN,"Camion, combi o colectivo",31 minutos a 1 hora
CUNORTE,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
CUCBA,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
CUCBA,ZAPOPAN,"Camion, combi o colectivo",Mas de 1 hora y hasta 2
SEMS,ZAPOPAN,"Camion, combi o colectivo",16 a 30 minutos
CUCEI,AMECA,"Camion, combi o colectivo",Mas de 2 horas
CUCSH,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
CUCS,TLAJOMULCO DE ZUNIGA,"Camion, combi o colectivo",Mas de 2 horas
SEMS,GUADALAJARA,"Camion, combi o colectivo",31 minutos a 1 hora
SEMS,GUADALAJARA,"Camion, combi o colectivo",16 a 30 minutos
